id_ciudad,ciudad,latitud,longitud,geolabel
114,General Jose de San Martin,-26.5375,-59.3417,General Jose de San Martin-Argentina
115,General Juan Madariaga,-37.0167,-57.1333,General Juan Madariaga-Argentina
116,General Las Heras,-34.9333,-58.95,General Las Heras-Argentina
117,General Martin Miguel de Güemes,-24.6667,-65.05,General Martin Miguel de Güemes-Argentina
118,General Pacheco,-34.45,-58.65,General Pacheco-Argentina
119,General Pico,-35.6667,-63.7333,General Pico-Argentina
120,General Pinedo,-27.3167,-61.2833,General Pinedo-Argentina
121,General Roca,-39.0333,-67.5833,General Roca-Argentina
122,General Rodriguez,-34.6167,-58.95,General Rodriguez-Argentina
123,General San Martin,-34.5667,-58.5333,General San Martin-Argentina
124,General Viamonte,-35,-61.0333,General Viamonte-Argentina
125,Gerli,-34.6833,-58.3667,Gerli-Argentina
126,Glew,-34.8833,-58.3833,Glew-Argentina
127,Gobernador Galvez,-33.0256,-60.6336,Gobernador Galvez-Argentina
128,Gobernador Virasora,-28.05,-56.0333,Gobernador Virasora-Argentina
129,Godoy Cruz,-32.9167,-68.8333,Godoy Cruz-Argentina
130,Gonzalez Catan,-34.7667,-58.6167,Gonzalez Catan-Argentina
131,Goya,-29.1333,-59.25,Goya-Argentina
132,Granadero Baigorria,-32.85,-60.7,Granadero Baigorria-Argentina
133,Grand Bourg,-34.4833,-58.7167,Grand Bourg-Argentina
134,Graneros,-27.65,-65.45,Graneros-Argentina
135,Gualeguay,-33.15,-59.3333,Gualeguay-Argentina
136,Gualeguaychu,-33.0167,-58.5167,Gualeguaychu-Argentina
137,Guernica,-34.9167,-58.3833,Guernica-Argentina
138,Haedo,-34.65,-58.6,Haedo-Argentina
139,Hurlingham,-34.6,-58.6333,Hurlingham-Argentina
140,Ingeniero Pablo Nogues,-34.4667,-58.7667,Ingeniero Pablo Nogues-Argentina
141,Isidro Casanova,-34.7,-58.5833,Isidro Casanova-Argentina
142,Itati,-27.2667,-58.25,Itati-Argentina
143,Ituzaingo,-34.6667,-58.6667,Ituzaingo-Argentina
144,Jardin America,-27.05,-55.2333,Jardin America-Argentina
145,Jesus Maria,-30.9833,-64.1,Jesus Maria-Argentina
146,Jose C. Paz,-34.5167,-58.7667,Jose C. Paz-Argentina
147,Jose Maria Ezeiza,-34.8333,-58.5167,Jose Maria Ezeiza-Argentina
148,Jose Marmol,-34.7833,-58.3667,Jose Marmol-Argentina
149,Junin,-34.5833,-60.95,Junin-Argentina
150,Junin,-33.1333,-68.4667,Junin-Argentina
151,Junin de los Andes,-39.9167,-71.0667,Junin de los Andes-Argentina
152,La Banda,-27.7333,-64.25,La Banda-Argentina
153,La Caldera,-24.6,-65.3833,La Caldera-Argentina
154,La Calera,-31.3439,-64.3353,La Calera-Argentina
155,La Carlota,-33.4333,-63.3,La Carlota-Argentina
156,La Cocha,-27.77,-65.5858,La Cocha-Argentina
157,La Leonesa,-27.05,-58.7167,La Leonesa-Argentina
158,La Paz,-30.75,-59.65,La Paz-Argentina
159,La Plata,-34.9211,-57.9544,La Plata-Argentina
160,La Quiaca,-22.1042,-65.5972,La Quiaca-Argentina
161,La Reja,-34.6394,-58.8283,La Reja-Argentina
162,La Rioja,-29.4125,-66.8542,La Rioja-Argentina
163,Lanus,-34.7,-58.4,Lanus-Argentina
164,Las Brenas,-27.0667,-61.0667,Las Brenas-Argentina
165,Las Flores,-36.0139,-59.1,Las Flores-Argentina
166,Las Heras,-32.85,-68.8167,Las Heras-Argentina
167,Las Rosas,-32.4833,-61.5833,Las Rosas-Argentina
168,Leandro N. Alem,-27.6,-55.3333,Leandro N. Alem-Argentina
169,Libertad,-34.6833,-58.6833,Libertad-Argentina
170,Libertador General San Martin,-23.8,-64.7833,Libertador General San Martin-Argentina
171,Lincoln,-34.85,-61.5167,Lincoln-Argentina
172,Llavallol,-34.7667,-58.3833,Llavallol-Argentina
